name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
boston,2021-01-11,35.1,25.8,31.3,29.4,19.2,26.1,17.4,56.52,0,,0,,0,0,,10.2,236.1,1023.8,88.1,9.9,66.5,2.6,1,,2021-01-11T07:12:20,2021-01-11T16:32:36,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,74490494723,72508854733"
boston,2021-01-12,42.1,27.8,33.7,36.6,19.3,27.8,20.6,59.19,0,,0,,0,0,18.3,11.3,269.3,1018.4,74.9,9.9,152.4,6,4,,2021-01-12T07:12:00,2021-01-12T16:33:44,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-13,39.9,30.6,35.4,37.9,24,29.7,23.1,60.96,0,,0,,0,0,,11.2,216.6,1015.6,77.1,9.9,180.6,5.9,4,,2021-01-13T07:11:37,2021-01-13T16:34:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-14,38,31.9,35,38,26.3,30.5,29.9,82.3,0.11,,54.17,,0,0,,8.9,181.1,1011.5,98.2,6,76.1,2.5,1,,2021-01-14T07:11:12,2021-01-14T16:36:02,0.01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,KBVY,72505914702"
boston,2021-01-15,39.9,33.2,36.8,34.2,27.4,31,31.9,82.65,0,,0,,0,0,20.8,12.6,175.4,1017.3,86.2,7.9,156.3,5.6,3,,2021-01-15T07:10:44,2021-01-15T16:37:12,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-16,51.2,37.1,43,51.2,27.5,35.6,39.2,86.63,1.05,,50,,0,0,47.2,35.2,156.7,998.4,90.1,8.1,53.4,1.7,2,,2021-01-16T07:10:14,2021-01-16T16:38:23,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-17,43,34.1,38.8,33.7,23.2,29.3,24.9,57.61,0,,0,,0,0,40.8,25,247.6,996.2,66.7,9.9,124.8,4.9,3,,2021-01-17T07:09:42,2021-01-17T16:39:36,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702,74490714753,74490494723,72508854733"
boston,2021-01-18,45,31.9,38.8,37.7,22,30.5,24.2,55.69,0,,0,,0,0,33.1,23.8,254.3,1004,70.6,9.9,161,5.8,3,,2021-01-18T07:09:08,2021-01-18T16:40:49,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-19,39.9,26.8,33.1,33.3,16.1,24.9,18.5,55.4,0,,0,,0,0,21.9,14.8,273.3,1014.4,58.8,9.9,148.2,5.9,4,,2021-01-19T07:08:32,2021-01-19T16:42:02,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,KBOS,72509014739,72505914702"
boston,2021-01-20,37.2,26.1,32.6,31.9,14.4,24.5,18.2,55.64,0,,0,,0,0,24.4,17,286.5,1012,80.9,9.9,107.6,3.9,2,,2021-01-20T07:07:53,2021-01-20T16:43:17,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,KBED,KBOS,72509014739,72505914702"
boston,2021-01-21,30.8,20.9,26.4,27.4,11.1,18.3,13.8,59.28,0,,0,,0.25,0.25,23,15.8,236.2,1008.3,84.6,9.6,91.2,3.3,2,,2021-01-21T07:07:13,2021-01-21T16:44:32,0.28,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KBED,KMQE,KBOS,72509014739,72505914702"
boston,2021-01-22,42.2,30.8,36.3,35.8,23.5,29.7,23.6,60.39,0,,0,,3.81,4.04,21.9,14.6,264.8,1003.5,81,9.9,138.3,5,4,,2021-01-22T07:06:30,2021-01-22T16:45:47,0.33,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KMQE,KBED,KBOS,72509014739,72505914702"
boston,2021-01-23,34,18,27.1,26.1,2.3,14.9,10.1,49.05,0,,0,,5.02,9.06,36.5,23.8,296.3,1011.6,40.5,9.9,180.4,6.5,4,,2021-01-23T07:05:45,2021-01-23T16:47:03,0.37,Partially cloudy,Clearing in the afternoon.,snow,"KOWD,AV085,72509854704,KMQE,KBED,KBOS,72509014739,72505914702"
boston,2021-01-24,30.8,17,22.9,17.1,0.5,8,1.1,38.93,0,,0,,0,3.02,41.4,26.1,294.2,1013.9,14.1,9.9,218.7,7.9,4,,2021-01-24T07:04:58,2021-01-24T16:48:20,0.41,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-25,36,19.9,26.5,28.1,4.9,15.4,5.7,41.92,0,,0,,0.85,0.85,30.8,20.4,309.5,1016.9,24.5,9.9,198,7.8,4,,2021-01-25T07:04:09,2021-01-25T16:49:37,0.44,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702,74490714753,72508854733"
boston,2021-01-26,34.2,21.7,28.2,26.8,13.1,20.1,18.9,68.89,0.21,,25,,2.44,2.13,19.2,11.1,193.5,1017,65.6,7.9,125.9,5,3,,2021-01-26T07:03:18,2021-01-26T16:50:54,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-27,35.1,28.1,31.6,30.9,17.8,24.3,28.2,87.09,0.09,,37.5,,1.24,3.37,,12.5,302.7,1015,100,6.8,68.9,2.5,2,,2021-01-27T07:02:25,2021-01-27T16:52:11,0.49,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-01-28,33.2,18,28.7,25.7,2.7,18.4,22.4,78.37,0.06,,45.83,,0.09,2.63,36.7,23.9,323.1,1015.1,94.8,6.2,65.2,2.3,1,,2021-01-28T07:01:31,2021-01-28T16:53:29,0.5,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-29,17.1,7,13,1.1,-14.6,-5.3,-2.3,49.84,0,,0,,0.1,2.43,38.9,25,312.2,1014.3,47.5,9.9,174.3,6.9,4,,2021-01-29T07:00:34,2021-01-29T16:54:47,0.51,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-30,20.1,8,13.5,8.1,-7.8,-1.1,-1.4,51.51,0,,0,,0.06,2.26,27.3,15.9,323.3,1023,19,9.9,215.5,8.5,4,,2021-01-30T06:59:36,2021-01-30T16:56:06,0.52,Clear,Clear conditions throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-01-31,22.8,6.9,15.6,21.7,-6.8,7.3,4.3,60.62,0,,0,,0.09,2.19,19.7,12.5,194.2,1026.8,54.1,9.9,171.3,6.8,4,,2021-01-31T06:58:35,2021-01-31T16:57:24,0.54,Partially cloudy,Becoming cloudy in the afternoon.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-01,35,21.4,29.2,22.9,11.3,17.2,24.1,81.62,0.67,,50,,2.75,4.94,43.2,35.1,48.2,1018.4,99.5,6.3,36.2,1.3,1,,2021-02-01T06:57:33,2021-02-01T16:58:43,0.59,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-02,34.1,30,31.7,22.8,17.2,20,30,93.51,0.26,,54.17,,1.63,6.57,42.3,31.9,159,997.9,99.9,5.2,85.3,3.1,2,,2021-02-02T06:56:29,2021-02-02T17:00:01,0.63,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-03,34.1,28.1,31.2,26.8,17.7,22.6,25.8,80.65,0,,4.17,,0.51,6.09,20.8,12.7,303.1,996,100,8.8,125.9,5,3,,2021-02-03T06:55:24,2021-02-03T17:01:20,0.68,Overcast,Cloudy skies throughout the day.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-04,37.1,28.9,32.3,29.6,20,25,24.4,72.97,0.01,,8.33,,0.19,5.96,24.2,13.7,293.1,1006.5,73.4,9.4,156.5,6.2,4,,2021-02-04T06:54:17,2021-02-04T17:02:39,0.74,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-05,39.9,26,33.6,39,20.4,28.6,29.3,84.21,0.01,,12.5,,0.06,5.71,30,12.5,222.5,1006.9,74.7,9.9,73.2,2.9,2,,2021-02-05T06:53:08,2021-02-05T17:03:58,0.8,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"KOWD,72509854704,KBED,KMQE,0518W,KBOS,72509014739,72505914702,74490714753,72508854733"
boston,2021-02-06,42.1,30.7,35.2,33.9,19.7,27,19.1,54.9,0,,0,,0.14,5.17,32.2,21.8,251.1,1013,28,9.9,229.4,9.1,5,,2021-02-06T06:51:58,2021-02-06T17:05:16,0.85,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-07,37,26.9,30.4,29.4,15.3,22.8,23.3,77.15,0.44,,33.33,,3.7,8.72,20.8,14.8,217.8,1015.7,94.5,6.7,32.8,1.2,1,,2021-02-07T06:50:46,2021-02-07T17:06:35,0.9,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-08,29.1,19,23.8,19.4,5.8,13.5,8.4,52.61,0,,0,,2.32,11.04,33.5,21.5,277.8,1024.9,37.6,9.9,222.6,8.8,5,,2021-02-08T06:49:32,2021-02-08T17:07:53,0.94,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-09,27,21.6,24.4,22.9,14.5,17.8,16.8,74.29,0.17,,33.33,,1.08,11.28,,11.2,149.2,1025.8,93.1,6.8,71.3,2.8,2,,2021-02-09T06:48:17,2021-02-09T17:09:12,0.97,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-10,29.9,19.6,24.8,22.9,7.7,15.3,13.2,62.97,0,,0,,0.68,11.97,19.7,13.7,306.3,1024.6,55.1,9.9,218.8,8.7,4,,2021-02-10T06:47:01,2021-02-10T17:10:30,1,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-11,29.1,20,24.5,21.4,7.4,15.8,8.8,51.15,0,,0,,0,11.27,25.3,14.8,320.9,1024.1,68.5,9.9,222.5,8.8,4,,2021-02-11T06:45:43,2021-02-11T17:11:48,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-12,26.9,11,19.4,22,-5.8,8,-1,40.79,0,,0,,0,10.48,25.4,16.2,303.3,1025.8,64.1,9.9,228.6,9.1,5,,2021-02-12T06:44:24,2021-02-12T17:13:06,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-13,27.9,17.1,23.2,19.8,2.6,13.6,6.9,50.87,0,,0,,0,9.75,20.8,14.7,168.4,1027,93.4,9.9,154.6,3.9,3,,2021-02-13T06:43:04,2021-02-13T17:14:23,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702,74490714753,74490494723,72508854733"
boston,2021-02-14,33.2,27,29.8,33.2,18.1,24.2,20.4,67.55,0,,0,,0.18,9.31,18.3,11.1,194.9,1024.1,100,9.9,110.8,4.4,3,,2021-02-14T06:41:42,2021-02-14T17:15:41,0.04,Overcast,Cloudy skies throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-15,30.9,27.1,29.6,25.1,17,21.4,24.7,82.64,0.04,,33.33,,0.11,9.42,18.3,13.6,183,1023.7,99.9,7.5,47.9,1.9,1,,2021-02-15T06:40:19,2021-02-15T17:16:58,0.07,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-16,39.9,29.9,35.3,36.5,22.1,28.2,34,95.8,0.64,,50,,0.04,8.24,32.3,22.7,156.3,1006.1,97.9,3.4,63.6,2.3,2,,2021-02-16T06:38:55,2021-02-16T17:18:15,0.1,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"KOWD,72509854704,KBED,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-17,32,22.9,26.9,21.7,10.1,16.1,7.7,44.41,0,,0,,0,6.79,33.5,23.8,305.1,1023.6,41.7,9.9,229,9.9,5,,2021-02-17T06:37:30,2021-02-17T17:19:32,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-18,30.8,24.2,27.2,27,15.5,19.5,14.2,60.35,0.09,,20.83,,1.32,6.94,20.8,15.9,121.9,1030.6,99.7,8,107.6,4.3,2,,2021-02-18T06:36:03,2021-02-18T17:20:48,0.19,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-19,29.9,25.1,27.4,20.6,14.5,17.6,24.7,89.79,0.43,,87.5,,2.69,9.46,20.8,15.9,241.9,1021.5,100,2.8,61,2.4,1,,2021-02-19T06:34:36,2021-02-19T17:22:04,0.24,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-20,30.9,24.1,27.3,22.6,11.6,17.6,17.9,69.1,0,,4.17,,1.89,11.35,33.3,15.8,317.5,1016.2,86.4,8.8,130,5.6,3,,2021-02-20T06:33:07,2021-02-20T17:23:20,0.28,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702,74490494723,72508854733"
boston,2021-02-21,33.1,19.9,26.1,27.6,6.7,17,9.7,50.58,0,,0,,0,11.02,26.3,20.5,303.2,1028.8,15.1,9.9,260.4,11.3,5,,2021-02-21T06:31:37,2021-02-21T17:24:36,0.33,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-22,39.8,20.6,31.1,33.4,12.9,23.1,23.5,73.99,0.17,,29.17,,0.1,10.18,38,21.6,194.4,1017.8,88.2,9.5,125.6,5,4,,2021-02-22T06:30:07,2021-02-22T17:25:51,0.38,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-23,43.1,34,37.5,36.2,24.2,29.6,28.9,71.8,0,,0,,0,8.46,27.7,16.9,248.6,1002.3,79.8,9.9,240.6,9.5,5,,2021-02-23T06:28:35,2021-02-23T17:27:06,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-24,48.8,38,43.1,43.7,30.1,36.5,27.8,55.5,0,,0,,0,7.11,31.9,20.7,240.1,1010.4,49.8,9.9,260.7,11.3,6,,2021-02-24T06:27:03,2021-02-24T17:28:21,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-25,46.1,33.9,41.9,39.7,25.5,33.8,21.6,45.33,0,,0,,0.39,5.98,35.1,24,278.3,1012.9,27.9,9.9,268.4,11.6,6,,2021-02-25T06:25:29,2021-02-25T17:29:35,0.48,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-26,39,28.7,32.6,39,19.7,25,15.6,50.35,0,,0,,0.41,5.51,19.6,13.7,228.8,1029.4,34.7,9.9,279.3,12.1,6,,2021-02-26T06:23:55,2021-02-26T17:30:49,0.5,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-02-27,47,29.9,37.5,42.6,21,30.8,34.2,88.04,0.18,,37.5,,0,5.36,31.1,13.7,198.2,1023.2,82,7.7,50.2,2.2,1,,2021-02-27T06:22:20,2021-02-27T17:32:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-02-28,43.1,35.8,38.8,43.1,30.1,33.9,30.7,72.79,0,,0,,0.99,5.29,19.7,12.6,213.5,1023.6,93.5,9.9,122.6,5.3,2,,2021-02-28T06:20:44,2021-02-28T17:33:16,0.51,Overcast,Cloudy skies throughout the day.,snow,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-03-01,44.1,29.9,38.4,39,16.9,31.1,31.8,80.62,0.2,,45.83,,1.31,5.89,47.6,33.3,219.6,1003.4,81.5,6.5,61.2,2.6,1,,2021-03-01T06:19:08,2021-03-01T17:34:30,0.53,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-03-02,28.1,12.8,21.6,16.5,-8.3,5.4,-5.7,29.74,0,,0,,0,5.3,49.8,32,285.1,1011.7,23.8,9.9,324,14,6,,2021-03-02T06:17:31,2021-03-02T17:35:43,0.57,Partially cloudy,Partly cloudy throughout the day.,wind,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-03-03,47.8,22.9,36.4,42.8,11.1,28.4,13.2,38.38,0,,0,,0,4.95,24.1,17,266.6,1010.2,74.8,9.9,273.1,11.8,6,,2021-03-03T06:15:53,2021-03-03T17:36:55,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-03-04,42,28.9,36.9,37,15.2,28.6,15.6,43.36,0,,0,,0,4.73,34.7,24.9,294,1005.6,54.4,9.9,230.5,10,8,,2021-03-04T06:14:14,2021-03-04T17:38:08,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-03-05,34.9,24.1,28.8,23.4,9.4,16.5,-1,29.01,0,,0,,0,4.27,35.5,22.9,294,1006.5,85.1,9.9,289.5,12.5,6,,2021-03-05T06:12:35,2021-03-05T17:39:20,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-03-06,35.9,21.7,28.3,28.4,9.5,17.9,4.8,36.65,0,,0,,0,4.05,26.4,18.2,290.9,1015.3,32,9.9,342.8,14.8,6,,2021-03-06T06:10:55,2021-03-06T17:40:31,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-03-07,37.9,21.7,30.1,31.5,10.2,21.5,6.7,37.28,0,,0,,0,3.97,20.8,12.6,308.5,1024.5,28.1,9.9,339.9,14.7,7,,2021-03-07T06:09:15,2021-03-07T17:41:43,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-03-08,38,24.8,32.1,33.1,15.4,24.4,12.8,44.92,0,,0,,0,3.87,,12.6,229.4,1027.8,31.6,9.9,342.9,14.8,6,,2021-03-08T06:07:34,2021-03-08T17:42:54,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-03-09,60.1,35.8,47,60.1,28.4,43.3,20,34.84,0,,0,,0,3.68,24.2,17.2,272.7,1024.7,47.4,9.9,306.1,14.3,7,,2021-03-09T06:05:53,2021-03-09T17:44:05,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-03-10,47.8,35.6,41.8,42.2,30.1,37.2,27.6,57.39,0,,0,,0.96,3.56,27.7,15.9,192.4,1032.7,29.7,9.9,304.6,14.3,6,,2021-03-10T06:04:12,2021-03-10T17:45:16,0.96,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-03-11,74,37,53.1,74,32.6,51.1,36.5,58.6,0,,0,,0,3.01,33.5,21.7,210.5,1022.2,81.5,9.6,203.2,9.5,6,,2021-03-11T06:02:30,2021-03-11T17:46:26,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
boston,2021-03-12,64.9,49.9,58,64.9,43.3,57.7,24.1,30.43,0,,0,,2.38,2.8,39.1,22.9,258.5,1013.7,45.1,9.9,351.6,15.2,6,,2021-03-12T06:00:47,2021-03-12T17:47:37,1,Partially cloudy,Clearing in the afternoon.,snow,"KOWD,72509854704,KMQE,KBED,0518W,KBOS,72509014739,72505914702"
boston,2021-03-13,48.7,31.9,41,44.3,19.3,32.4,7.9,25.64,0,,0,,0,2.34,40.5,27.6,291.7,1017.6,28.4,9.9,331,15.5,7,,2021-03-13T05:59:05,2021-03-13T17:48:47,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KMQE,0518W,KBOS,72509014739,72505914702"
